Feature,Importance
RSI,0.059227234683930874
Return_5d,0.058674792759120464
Close_to_MA_50,0.05705073196440935
MACD,0.05413585901260376
Return_20d,0.053950016386806965
Close_to_MA_20,0.05373547878116369
Close_to_MA_10,0.05369988363236189
ROC_20,0.05364708881825209
ATR_Pct,0.05340240988880396
Volume_Ratio,0.05232114065438509
MACD_Histogram,0.052065176889300346
Return_1d,0.051513444632291794
MACD_Signal,0.05078962258994579
ROC_10,0.05049419868737459
Close_to_MA_5,0.05025097914040089
Return_3d,0.050188920460641384
BB_Position,0.048761120066046715
Return_10d,0.04825623147189617
ROC_5,0.04783564247190952
