Feature,Importance
RSI,0.061380984261631966
Return_10d,0.060989243909716606
MACD_Histogram,0.055400568060576916
Return_1d,0.05389627628028393
Return_5d,0.05345180816948414
Close_to_MA_5,0.053274243138730526
ROC_10,0.05283095967024565
Close_to_MA_20,0.052713881246745586
Close_to_MA_50,0.05181923322379589
Close_to_MA_10,0.05172756128013134
Return_20d,0.051412537693977356
MACD,0.05108615197241306
Return_3d,0.05101863481104374
Volume_Ratio,0.05077944230288267
ROC_20,0.05074709001928568
ATR_Pct,0.05018321890383959
BB_Position,0.049726635217666626
MACD_Signal,0.049212897196412086
ROC_5,0.04834857676178217
